pilote;nb_q;nb_q2;nb_q3;nb_poles_q;best_q;moy_q;vsCoeq_q;nb_s;nb_top8_s;nb_podium_s;nb_win_s;best_s;moy_s;vsCoeq_s;nb_c;nb_top10_c;nb_podium_c;nb_win_c;best_c;moy_c;vsCoeq_c
WOR Noctis;8;8;7;3;1;3.25;7;2;2;2;0;2;2.5;1;8;7;5;4;1;5.12;5
RP1 Theo;9;8;8;0;2;5.89;2;2;2;0;0;4;4.0;0;9;7;3;1;1;6.44;1
RP1 Okwaru;2;2;2;0;3;3.0;1;0;0;0;0;0;0;0;2;2;1;0;2;6.0;1
PuR Rosberg;9;9;9;0;2;4.33;7;2;2;0;0;7;7.0;1;9;6;2;0;2;8.44;5
ERT BatXone;10;9;9;1;1;6.5;2;2;2;2;0;2;2.5;1;10;7;3;0;2;7.7;4
FRA Raaven;6;6;6;0;5;5.83;1;1;0;0;0;9;9.0;0;6;5;0;0;4;6.83;3
ERT Niloboo;5;5;5;0;4;6.2;5;1;1;0;0;5;5.0;1;5;4;2;0;3;6.6;4
RP1 Montoya;9;8;5;0;6;10.89;5;2;0;0;0;11;15.5;1;9;7;0;0;4;9.44;9
RP1 Winterr;6;6;3;0;6;9.67;5;2;1;0;0;8;10.5;1;6;3;0;0;8;11.33;4
LDL Saumon;8;8;6;0;5;9.0;3;1;1;0;0;8;8.0;1;8;8;2;0;3;6.38;3
RP1 Adam;9;9;4;0;7;10.67;8;2;0;0;0;11;15.5;1;9;3;0;0;8;12.78;5
PuR Lowky;10;10;7;1;1;8.0;9;2;2;0;0;5;5.5;2;10;5;1;1;1;11.5;4
RP1 Varane;10;8;2;0;5;12.6;6;2;0;0;0;12;13.5;1;10;1;0;0;5;14.7;2
RP1 Chadoo;2;2;0;0;12;13.0;0;1;0;0;0;10;10.0;0;2;0;0;0;15;16.5;0
XRT Arthur;10;7;2;0;8;14.1;1;2;0;0;0;12;13.0;1;10;4;0;0;9;12.3;5
XRT Oxygen;8;2;0;0;13;16.38;4;2;0;0;0;17;17.5;1;8;2;0;0;6;11.62;6
MCR Path;10;2;0;0;14;17.2;6;2;0;0;0;14;15.0;2;10;1;0;0;9;14.6;4
FcT Daigoro;5;3;0;0;13;16.0;0;1;0;0;0;13;13.0;0;5;2;0;0;6;12.2;2
MCR Jayrko;10;1;0;0;12;17.6;4;2;0;0;0;16;17.0;0;10;1;0;0;9;14.1;6
PuR Snika;4;0;0;0;16;18.0;1;1;0;0;0;19;19.0;0;4;0;0;0;11;12.5;2
PuR Nygraal;8;8;8;5;1;1.5;6;2;2;2;2;1;1.0;2;8;8;8;4;1;1.5;7
XRT Darkfly;2;1;1;0;9;13.0;0;1;0;0;0;15;15.0;0;2;0;0;0;15;15.5;1
PuR Voltha;1;1;0;0;13;13.0;0;0;0;0;0;0;0;0;1;0;0;0;13;13.0;0
PuR Thomas;6;6;6;0;2;5.83;4;1;1;0;0;6;6.0;1;6;4;2;0;2;9.0;3
LDL Oli;7;6;5;0;4;9.14;3;1;0;0;0;9;9.0;0;7;6;1;0;3;7.14;4
PuR Ripply;3;3;0;0;11;12.67;0;0;0;0;0;0;0;0;3;1;0;0;10;12.67;1
FcT LaSouche;1;1;0;0;14;14.0;1;0;0;0;0;0;0;0;1;0;0;0;17;17.0;0
TX3 Enzo;5;0;0;0;16;18.0;1;1;0;0;0;17;17.0;1;5;1;0;0;10;13.4;4
pilote;nb_q;nb_q2;nb_q3;nb_poles_q;best_q;moy_q;vsCoeq_q;nb_s;nb_top8_s;nb_podium_s;nb_win_s;best_s;moy_s;vsCoeq_s;nb_c;nb_top10_c;nb_podium_c;nb_win_c;best_c;moy_c;vsCoeq_c
PuR Thomas;10;10;10;6;1;1.5;10;2;2;1;0;2;4.5;1;10;6;5;3;1;7.3;5
PuR Nygraal;2;2;2;0;2;2.0;2;1;1;1;1;1;1.0;1;2;2;2;1;1;1.5;2
PuR Ripply;11;10;9;0;3;7.45;10;2;1;0;0;4;7.5;2;11;7;3;0;2;8.82;7
PuR Racing;9;8;8;4;1;3.89;6;2;2;1;1;1;3.0;1;9;5;3;2;1;9.67;3
ERT Niloboo;8;8;8;0;4;5.38;4;2;2;1;0;3;3.5;2;8;7;3;1;1;5.12;6
RP1 Tribion;8;7;6;0;6;9.38;7;1;0;0;0;14;14.0;0;8;4;1;0;3;9.25;6
ERT Aurelius;7;7;6;0;3;6.43;4;2;0;0;0;12;13.5;1;7;6;0;0;4;6.29;5
FcT LaSouche;6;5;5;0;4;8.5;3;1;0;0;0;20;20.0;0;6;1;0;0;6;14.17;0
Yozana;8;8;5;0;5;9.88;4;2;1;0;0;6;10.0;1;8;5;0;0;4;9.12;4
FcT Deadpool;4;4;1;0;10;12.5;2;1;0;0;0;18;18.0;0;4;0;0;0;14;14.5;1
PuRa Tomoe;8;6;3;0;9;12.25;2;1;0;0;0;10;10.0;0;8;5;1;0;3;9.25;4
RP1 Gachette;11;5;0;0;12;16.45;2;2;0;0;0;17;18.0;0;11;3;0;0;5;14.91;3
MCR SpaceX;6;4;2;0;8;13.0;2;1;0;0;0;16;16.0;1;6;3;0;0;6;12.0;4
PuR Vincent;9;9;5;0;3;9.11;0;2;2;0;0;5;6.0;1;9;8;5;1;1;5.44;5
iF1 Supr3me;6;3;1;0;8;15.67;2;2;1;0;0;8;8.5;1;7;4;0;0;4;11.29;3
XRT Darkfly;10;6;2;0;8;13.1;8;1;0;0;0;17;17.0;1;10;5;0;0;5;12.2;7
RP1 Owain;1;0;0;0;17;17.0;1;0;0;0;0;0;0;0;1;0;0;0;17;17.0;1
Heroziah;6;2;0;0;13;16.83;1;1;0;0;0;20;20.0;0;6;0;0;0;14;17.83;1
ECS Finesse;8;4;1;0;10;14.88;4;2;0;0;0;13;13.0;1;8;3;0;0;8;13.75;2
Istoozen Eko;5;3;2;0;6;13.0;3;0;0;0;0;0;0;0;5;1;0;0;9;13.6;2
PuRa Jager;6;4;2;0;9;13.33;2;1;1;0;0;8;8.0;1;6;2;0;0;5;13.33;4
RP1 Woody;1;0;0;0;18;18.0;0;1;0;0;0;11;11.0;1;1;1;0;0;9;9.0;1
ERT Flyart;9;2;0;0;15;17.44;1;2;0;0;0;12;15.0;0;9;5;1;1;1;9.89;4
ASE Luisnts1;4;3;2;0;3;10.5;3;1;0;0;0;16;16.0;0;4;1;1;1;1;11.0;2
PuR Voltha;7;7;5;0;3;7.0;4;1;1;1;0;3;3.0;0;7;1;1;0;2;13.29;4
Non4me Cramer;2;2;2;0;4;7.0;1;0;0;0;0;0;0;0;2;1;1;0;3;9.5;1
F1M AlexGT500;3;3;1;0;5;10.0;0;0;0;0;0;0;0;0;3;1;1;0;3;10.67;2
Mirage9150;2;2;0;0;11;13.0;1;1;0;0;0;19;19.0;0;2;0;0;0;11;11.5;1
PuR Ilton;4;4;4;0;2;4.25;2;0;0;0;0;0;0;0;4;3;2;1;1;6.0;1
PuR Vinboy;3;3;2;0;3;8.0;1;0;0;0;0;0;0;0;3;3;0;0;4;4.67;3
RP1 Skyzzz;5;5;5;0;4;7.6;3;1;0;0;0;9;9.0;1;5;4;0;0;5;8.6;4
pilote;nb_q;nb_q2;nb_q3;nb_poles_q;best_q;moy_q;vsCoeq_q;nb_s;nb_top8_s;nb_podium_s;nb_win_s;best_s;moy_s;vsCoeq_s;nb_c;nb_top10_c;nb_podium_c;nb_win_c;best_c;moy_c;vsCoeq_c
